id,name,surname,rank,country
102642,Cyril,Saulnier,100,FRA
102571,Gregory,Carraz,100,FRA
103325,Wesley,Moodie,97,RSA
104417,Robin,Soderling,99,SWE
103333,Ivo,Karlovic,88,CRO
103169,Oscar,Hernandez,97,ESP
104269,Fernando,Verdasco,100,ESP
104755,Richard,Gasquet,95,FRA
104098,Dmitry,Tursunov,99,RUS
104214,Igor,Andreev,93,RUS
102401,Scott,Draper,97,AUS
103693,Thierry,Ascione,88,FRA
103917,Nicolas,Mahut,94,FRA
104166,Alex,Bogomolov Jr,97,RUS
102615,Dennis,Van Scheppingen,92,NED
104026,Joachim,Johansson,95,SWE
104607,Tomas,Berdych,98,CZE
103153,Gilles,Elseneer,99,BEL
103898,Julien,Benneteau,94,FRA
104252,Florian,Mayer,95,GER
103506,Martin,Vassallo Arguello,100,ARG
104019,Kristof,Vliegen,93,BEL
104229,Yen Hsun,Lu,100,TPE
103535,Olivier,Patience,97,FRA
102269,Jeff,Salzenstein,100,USA
104338,Juan,Monaco,96,ARG
103401,Jan,Hernych,77,CZE
103808,Potito,Starace,95,ITA
104180,Gilles,Muller,88,LUX
104259,Philipp,Kohlschreiber,97,GER
104597,Nicolas,Almagro,98,ESP
103672,Ricardo,Mello,100,BRA
103490,Santiago,Ventura,99,ESP
103592,Jerome,Haehnel,100,FRA
103240,Kevin,Kim,99,USA
104198,Guillermo,Garcia Lopez,90,ESP
104571,Marcos,Baghdatis,94,CYP
104386,Janko,Tipsarevic,100,SRB
103737,Edgardo,Massa,100,ARG
104527,Stanislas,Wawrinka,97,SUI
103035,Alessio,Di Mauro,100,ITA
104792,Gael,Monfils,79,FRA
104312,Andreas,Seppi,77,ITA
103451,Bjorn,Phau,100,GER
104371,Ivo,Minar,98,CZE
103722,Florent,Serra,98,FRA
104925,Novak,Djokovic,94,SRB
103009,Razvan,Sabau,100,ROU
103503,Robin,Vik,98,CZE
103110,Daniele,Bracciali,97,ITA
104160,Lukas,Dlouhy,100,CZE
104499,Jimmy,Wang,100,TPE
104918,Andy,Murray,72,GBR
104122,Carlos,Berlocq,99,ARG
103228,Marcos,Daniel,98,BRA
104035,Bobby,Reynolds,99,USA
104081,Boris,Pashanski,84,SRB
104468,Gilles,Simon,89,FRA
103821,Danai,Udomchoke,98,THA
103594,Oliver,Marach,96,AUT
103752,Simon,Greul,90,GER
102967,Marc,Gicquel,99,FRA
103369,Melle,Van Gemerden,100,NED
104225,Jan,Hajek,92,CZE
103857,Igor,Kunitsyn,93,RUS
104559,Teymuraz,Gabashvili,99,RUS
104433,Frank,Dancevic,96,CAN
103373,Sergio,Roitman,93,ARG
103823,Denis,Gremelmayr,100,GER
103794,Benjamin,Becker,76,GER
105095,Evgeny,Korolev,100,KAZ
103999,Thiago,Alves,96,BRA
105223,Juan Martin,Del Potro,99,ARG
104268,Alejandro,Falla,99,COL
103534,Nicolas,Devilder,92,FRA
104025,Amer,Delic,96,BIH
103470,Robert,Kendrick,87,USA
105023,Sam,Querrey,100,USA
103701,Diego,Hartfield,93,ARG
105208,Ernests,Gulbis,97,LAT
103580,Alexander,Peya,96,AUT
104589,Chris,Guccione,98,AUS
102999,Stefano,Galvani,99,ITA
104620,Simone,Bolelli,96,ITA
103868,Ivan,Navarro,90,ESP
103429,Peter,Luczak,98,AUS
103582,Michael,Berrer,94,GER
103700,Juan Pablo,Guzman,100,ARG
104542,Jo Wilfried,Tsonga,74,FRA
104273,Edouard Roger,Vasselin,92,FRA
104898,Robin,Haase,96,NED
104999,Mischa,Zverev,100,GER
103976,Juan Pablo,Brzezicki,100,ARG
104534,Dudi,Sela,92,ISR
104154,Paul,Capdeville,100,CHI
105227,Marin,Cilic,98,CRO
104926,Fabio,Fognini,98,ITA
104327,Steve,Darcis,88,BEL
105385,Donald,Young,98,USA
104655,Pablo,Cuevas,88,URU
104545,John,Isner,93,USA
104719,Marcel,Granollers,99,ESP
105453,Kei,Nishikori,99,JPN
104724,Eduardo,Schwank,91,ARG
105064,Thomaz,Bellucci,100,BRA
104678,Viktor,Troicki,98,SRB
104731,Kevin,Anderson,100,RSA
104593,Daniel,Gimeno Traver,98,ESP
104871,Jeremy,Chardy,94,FRA
104639,Wayne,Odesnik,96,USA
104216,Maximo,Gonzalez,76,ARG
104314,Brian,Dabul,99,ARG
104056,Roko,Karanusic,99,CRO
